Date,Product Name,Base Price (AED),Final Price (AED),Discount,Stock Status,Available Qty,Product URL
2025-05-19,Intel Core i5-12400F Tray 6Cores/12Threads Max Turbo 4.4 GHz Processor,699.00,499.00,-29%,Out of stock,,https://dxbgamers.com/product/intel-core-i5-12400f-tray-6cores-12threads-max-turbo-4-4-ghz-processor/
2025-05-19,Intel Core i9-14900K BOX 14th Gen 3.2 GHz LGA1700 Processor,1979.00,1849.00,-7%,In stock,,https://dxbgamers.com/product/intel-core-i9-14900k-box-14th-gen-3-2-ghz-lga1700-processor/
2025-05-19,Intel Core i9-12900K BOX 12th Gen 3.2 GHz LGA 1700 Processor,1790.00,1725.00,-4%,Out of stock,,https://dxbgamers.com/product/intel-core-i9-12900k-box-12th-gen-3-2-ghz-lga-1700-processor/
2025-05-19,Intel Core i7-13700K TRAY 13th Gen 3.4 GHz LGA 1700 Processor,1700.00,1700.00,,Out of stock,,https://dxbgamers.com/product/intel-core-i7-13700k-tray-13th-gen-3-4-ghz-lga-1700-processor/
2025-05-19,Intel Core i7-12700 TRAY 12th Gen 2.1 GHz LGA 1700 Processor,1380.00,1205.00,-13%,Out of stock,,https://dxbgamers.com/product/intel-core-i7-12700-tray-12th-gen-2-1-ghz-lga-1700-processor/
2025-05-19,Intel Core i9-13900K TRAY 13th Gen 3 GHz LGA 1700 Processor,2400.00,2245.00,-6%,Out of stock,,https://dxbgamers.com/product/intel-core-i9-13900k-tray-13th-gen-3-ghz-lga-1700-processor/
2025-05-19,Intel Core i5-13400 BOX 13th Gen up to 4.6 GHz 10 Cores LGA1700 Processor,920.00,920.00,,Out of stock,,https://dxbgamers.com/product/intel-core-i5-13400-box-13th-gen-up-to-4-6-ghz-10-cores-lga1700-processor/
2025-05-19,Intel Core i5-13400 TRAY 13th Gen up to 4.6 GHz 10 Cores LGA1700 Processor,890.00,890.00,,Out of stock,,https://dxbgamers.com/product/intel-core-i5-13400-tray-13th-gen-up-to-4-6-ghz-10-cores-lga1700-processor/
2025-05-19,Intel Core i7-11700 TRAY 11th Gen 2.50 GHz LGA 1200 Processor,1050.00,890.00,-15%,Out of stock,,https://dxbgamers.com/product/intel-core-i7-11700-tray-11th-gen-2-50-ghz-lga-1200-processor/
2025-05-19,Intel Core i7-13700 TRAY 13th Gen 5.2 GHz 16 Cores LGA1151 Processor,1670.00,1570.00,-6%,Out of stock,,https://dxbgamers.com/product/intel-core-i7-13700-tray-13th-gen-5-2-ghz-16-cores-lga1151-processor/
2025-05-19,Intel Core i7-13700 BOX 13th Gen 5.2 GHz 16 Cores LGA1151 Processor,1780.00,1620.00,-9%,Out of stock,,https://dxbgamers.com/product/intel-core-i7-13700-box-13th-gen-5-2-ghz-16-cores-lga1151-processor/
2025-05-19,Intel Core i9-13900F BOX 13th Gen 2.0 GHz LGA1700 Processor,3020.00,2239.00,-26%,Out of stock,,https://dxbgamers.com/product/intel-core-i9-13900f-box-13th-gen-2-0-ghz-lga1700-processor/
2025-05-19,Intel Core i7-14700KF 14th Gen 3.4 GHz 20-Core LGA 1700 Processor Box,1695.00,1695.00,,Out of stock,,https://dxbgamers.com/product/intel-core-i7-14700kf-14th-gen-3-4-ghz-20-core-lga-1700-processor/
2025-05-19,Intel Core i9-14900K TRAY 14th Gen 3.2 GHz LGA1700 Processor,2360.00,2360.00,,In stock,,https://dxbgamers.com/product/intel-core-i9-14900k-tray-14th-gen-3-2-ghz-lga1700-processor/
2025-05-19,Intel Core i7-14700KF TRAY 14th Gen 3.4 GHz 20-Core LGA 1700 Processor,1675.00,1675.00,,Out of stock,,https://dxbgamers.com/product/intel-core-i7-14700kf-tray-14th-gen-3-4-ghz-20-core-lga-1700-processor/
2025-05-19,Intel Core i7-14700K TRAY 14th Gen 3.4 GHz LGA 1700 Processor,1680.00,1680.00,,Out of stock,,https://dxbgamers.com/product/intel-core-i7-14700k-tray-14th-gen-3-4-ghz-lga-1700-processor/
2025-05-19,Intel Core i9-13900K BOX 13th Gen 3 GHz LGA 1700 Processor,2440.00,2140.00,-12%,In stock,,https://dxbgamers.com/product/intel-core-i9-13900k-box-13th-gen-3-ghz-lga-1700-processor/
2025-05-19,Intel Core i7-12700K BOX 12th Gen 3.6 GHz LGA 1700 Processor,1380.00,1280.00,-7%,In stock,,https://dxbgamers.com/product/intel-core-i7-12700k-box-12th-gen-3-6-ghz-lga-1700-processor/
